,num_rooms,num_ratings,avg_rating,name
87882357,7.0,86.0,5.0,Live Local Mallorca
88006009,1.0,7.0,5.0,Velcev Family
88423804,1.0,4.0,4.5,Toni
88558769,1.0,14.0,5.0,Alina
88710026,1.0,28.0,5.0,Maria
89514029,1.0,43.0,5.0,Miguel
90320342,1.0,10.0,5.0,Pepi
91247183,1.0,1.0,0.0,Crescenzo
91644069,5.0,14.0,0.8,Son Reus
92223045,1.0,35.0,4.5,Maria Jose
92695924,1.0,21.0,4.5,Verónica
93477874,1.0,0.0,0.0,Jorge
94040489,1.0,24.0,5.0,Santiago
94922843,4.0,34.0,4.125,Mallorkeys
95137261,1.0,3.0,5.0,Tatiana
95219625,2.0,18.0,4.5,Falk
97716945,1.0,0.0,0.0,Angela
98146031,1.0,3.0,5.0,Miguel
98240903,1.0,31.0,5.0,Mar
99338974,1.0,0.0,0.0,Elena
99451725,1.0,0.0,0.0,Antonia
101516573,2.0,42.0,4.5,Ana
102184134,3.0,39.0,3.33333333333,Aurelia
102212213,2.0,79.0,4.5,Piedad
102222359,1.0,30.0,4.5,Heather
103552215,20.0,31.0,0.7,Fátima
103852107,9.0,180.0,4.33333333333,Juan
103858986,1.0,40.0,5.0,Román
104078855,4.0,0.0,0.0,Juan
104598105,1.0,4.0,5.0,Christian
104655996,20.0,36.0,1.2,Cristina
106100344,1.0,0.0,0.0,Tatjana
106503072,3.0,33.0,5.0,Silvia Y Stephane
107246527,20.0,1.0,0.0,Loic
107900976,1.0,17.0,5.0,Pere
109799599,1.0,11.0,5.0,Pedro Y Juan
111505073,5.0,84.0,2.9,Nadine  ;-)
111564142,1.0,0.0,0.0,Sergio
112496458,2.0,27.0,5.0,Ark Of Noah
112527968,1.0,25.0,4.5,Benjamín Martínez Sansó
113096492,1.0,4.0,5.0,David
113860805,3.0,55.0,4.16666666667,Stephen
113994117,1.0,21.0,5.0,Eva
114139557,10.0,12.0,0.95,Preferent
115120919,1.0,13.0,4.5,Mischa
115274247,1.0,19.0,4.5,Judith
115571977,1.0,22.0,5.0,Celine
116852606,1.0,1.0,0.0,Gisele
117109343,1.0,36.0,5.0,Bonanova20
118347018,20.0,0.0,0.0,Tatiana - INTER CHALET
118347637,20.0,0.0,0.0,Anika - INTER CHALET
118475336,1.0,8.0,5.0,Felipe
118824637,2.0,41.0,4.75,Isabella
118869100,1.0,1.0,0.0,Pep
119799490,2.0,18.0,5.0,Ana Isabel
119962619,2.0,13.0,2.25,Marta
119966018,2.0,0.0,0.0,Idalia
120043475,1.0,5.0,4.5,Gabriela
120684403,1.0,7.0,4.5,Miquel
120751558,1.0,0.0,0.0,Marina
121363620,1.0,26.0,5.0,Ester
121732542,7.0,18.0,1.64285714286,Jesus-Villa
121814747,1.0,0.0,0.0,Sol
122099408,2.0,19.0,4.0,Rudi
122160914,1.0,28.0,5.0,Mateo
122188637,1.0,17.0,5.0,Magalí
122251745,4.0,68.0,4.25,Michel
122531128,1.0,25.0,5.0,Margarita
122563767,1.0,13.0,5.0,Juan
124048660,1.0,3.0,5.0,Alejandra
124293363,1.0,11.0,5.0,Gabriel
124384917,1.0,22.0,5.0,Petrus
124869759,1.0,7.0,5.0,Tina
125305556,1.0,20.0,5.0,Cristina
125718757,1.0,17.0,5.0,Bartomeu
126101908,1.0,40.0,4.5,Caterina
126792462,4.0,45.0,3.625,Marco
126877344,1.0,34.0,4.5,Tony
127368255,2.0,9.0,2.25,Steven
128027761,5.0,72.0,4.9,François
128234114,2.0,10.0,3.75,Lucía
128645576,2.0,0.0,0.0,Dominique
128866471,1.0,8.0,5.0,Irina T.
129273120,1.0,13.0,5.0,Krasi
129456586,1.0,23.0,4.5,Mikel
130456197,3.0,34.0,4.16666666667,Bruna
130559200,1.0,7.0,4.5,Alicia
130722130,17.0,78.0,4.14705882353,Vanessa
131481024,3.0,54.0,4.66666666667,Manu
131642689,4.0,3.0,1.125,Ana
132965557,1.0,25.0,4.5,Julhia A
133182531,1.0,11.0,4.5,Borja
133414645,1.0,11.0,5.0,Sara
134283692,1.0,5.0,4.5,Rob
134883384,2.0,30.0,5.0,Kris Daniel
134913171,1.0,19.0,5.0,Patricia
135198561,2.0,7.0,2.25,Futura
136150060,3.0,21.0,4.83333333333,Maties
136962395,1.0,13.0,5.0,Cooper Room
137240938,3.0,16.0,2.66666666667,Avanza 2020
137251149,1.0,6.0,5.0,Anabel
138590753,6.0,13.0,2.41666666667,Carmen
139214326,1.0,10.0,5.0,Maria
139588354,1.0,4.0,5.0,María
140778890,1.0,6.0,4.5,Patri
141076179,5.0,3.0,0.8,Charlene
141995402,1.0,28.0,5.0,Trine
143112519,1.0,15.0,5.0,Maria
143196969,1.0,2.0,0.0,Diego
143345636,1.0,5.0,5.0,Rafael
143636738,1.0,1.0,0.0,Lady
143670937,1.0,0.0,0.0,Anka
144733959,1.0,3.0,4.5,Lautaro
144947559,1.0,2.0,0.0,Marta
147490554,1.0,2.0,0.0,Sandra
147539679,1.0,0.0,0.0,Neus Edurne
147687912,1.0,6.0,4.5,Carlos
148255857,2.0,2.0,0.0,Nuria
148525484,20.0,0.0,0.0,Portamarmallorca
148549562,4.0,9.0,2.0,Hostal
149209395,20.0,56.0,1.125,Priority Villas
149934969,3.0,0.0,0.0,Anna Maria
150436083,20.0,0.0,0.0,Susy - INTER CHALET
151365745,1.0,3.0,4.5,Alina
153272314,1.0,0.0,0.0,Stephan
153497290,18.0,0.0,0.0,Monzly
153596894,1.0,1.0,0.0,Luis
154044310,20.0,0.0,0.0,David - NOVASOL
154044512,20.0,0.0,0.0,Pablo - NOVASOL
154044810,20.0,0.0,0.0,Javier - NOVASOL
154045024,20.0,0.0,0.0,Alex - NOVASOL
154045231,20.0,0.0,0.0,Carlos - NOVASOL
154045446,20.0,0.0,0.0,Maria - NOVASOL
154045658,20.0,0.0,0.0,Carmen - NOVASOL
154046886,20.0,0.0,0.0,Lucia - NOVASOL
154047079,20.0,0.0,0.0,Raul - NOVASOL
154047241,20.0,0.0,0.0,Juan - NOVASOL
154930739,2.0,2.0,0.0,Amin
154985774,1.0,0.0,0.0,Paul
155999606,1.0,0.0,0.0,Bruna
156543882,1.0,0.0,0.0,Sunny
157133221,1.0,0.0,0.0,Kim
157927063,1.0,0.0,0.0,Leila
158042954,7.0,0.0,0.0,Toni Ros
160179754,1.0,0.0,0.0,Josep
160543765,1.0,0.0,0.0,Toni
